"id","vhf_id","tipo_equipo","marca","modelo","numero_serie","tecnologia","activo_fijo","estado","created_at"
263,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:55.296
264,26,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:56.214
265,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:56.941
266,26,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:57.762
267,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:59.111
268,27,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:24:00.314
269,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:01.134
270,27,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:24:01.901
271,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:02.714
272,27,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:24:03.592
273,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:04.424
274,27,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:24:05.337
275,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:06.250
276,27,Main,ICOM ,ic,S/N,Analógico,,OK,2026-01-08 16:24:07.177
277,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:08.053
278,27,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:08.945
279,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:09.875
280,27,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:10.917
281,27,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:11.780
282,28,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:12.894
283,28,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:13.836
284,28,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:14.745
285,28,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:15.667
286,28,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:16.595
287,28,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:17.410
288,28,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:24:18.373
